source_image,row,col,crystal_name,output_file
image-1778850494362.jpg,1,1,白水晶,image-1778850494362/白水晶.jpg
image-1778850494362.jpg,1,2,白幽灵,image-1778850494362/白幽灵.jpg
image-1778850494362.jpg,1,3,月光石,image-1778850494362/月光石.jpg
image-1778850494362.jpg,1,4,樱花玛瑙,image-1778850494362/樱花玛瑙.jpg
image-1778850494362.jpg,1,5,东陵玉,image-1778850494362/东陵玉.jpg
image-1778850494362.jpg,1,6,欧泊,image-1778850494362/欧泊.jpg
image-1778850494362.jpg,2,1,葡萄石,image-1778850494362/葡萄石.jpg
image-1778850494362.jpg,2,2,绿橄榄,image-1778850494362/绿橄榄.jpg
image-1778850494362.jpg,2,3,岫玉,image-1778850494362/岫玉.jpg
image-1778850494362.jpg,2,4,孔雀石,image-1778850494362/孔雀石.jpg
image-1778850494362.jpg,2,5,绿幽灵,image-1778850494362/绿幽灵.jpg
image-1778850494362.jpg,2,6,帕拉伊巴,image-1778850494362/帕拉伊巴.jpg
image-1778850494362.jpg,3,1,沙弗莱,image-1778850494362/沙弗莱.jpg
image-1778850494362.jpg,3,2,猫眼石,image-1778850494362/猫眼石.jpg
image-1778850494362.jpg,3,3,萤石,image-1778850494362/萤石.jpg
image-1778850494362.jpg,3,4,绿玉髓,image-1778850494362/绿玉髓.jpg
image-1778850494362.jpg,3,5,捷克陨石,image-1778850494362/捷克陨石.jpg
image-1778850494362.jpg,3,6,茶晶,image-1778850494362/茶晶.jpg
image-1778850494362.jpg,4,1,黑发晶,image-1778850494362/黑发晶.jpg
image-1778850494362.jpg,4,2,天铁陨石,image-1778850494362/天铁陨石.jpg
image-1778850494362.jpg,4,3,虎眼石,image-1778850494362/虎眼石.jpg
image-1778850494362.jpg,4,4,黑曜石,image-1778850494362/黑曜石.jpg
image-1778850494362.jpg,4,5,黑碧玺,image-1778850494362/黑碧玺.jpg
image-1778850494362.jpg,4,6,墨玉,image-1778850494362/墨玉.jpg
image-1778850499426.jpg,1,1,朱砂,image-1778850499426/朱砂.jpg
image-1778850499426.jpg,1,2,南红,image-1778850499426/南红.jpg
image-1778850499426.jpg,1,3,石榴石,image-1778850499426/石榴石.jpg
image-1778850499426.jpg,1,4,极光23,image-1778850499426/极光23.jpg
image-1778850499426.jpg,1,5,玛瑙,image-1778850499426/玛瑙.jpg
image-1778850499426.jpg,1,6,红兔毛,image-1778850499426/红兔毛.jpg
image-1778850499426.jpg,2,1,红发晶,image-1778850499426/红发晶.jpg
image-1778850499426.jpg,2,2,碧玺,image-1778850499426/碧玺.jpg
image-1778850499426.jpg,2,3,蔷薇石,image-1778850499426/蔷薇石.jpg
image-1778850499426.jpg,2,4,红纹石,image-1778850499426/红纹石.jpg
image-1778850499426.jpg,2,5,尖晶石,image-1778850499426/尖晶石.jpg
image-1778850499426.jpg,2,6,草莓晶,image-1778850499426/草莓晶.jpg
image-1778850499426.jpg,3,1,粉水晶,image-1778850499426/粉水晶.jpg
image-1778850499426.jpg,3,2,摩根石,image-1778850499426/摩根石.jpg
image-1778850499426.jpg,3,3,星光芙蓉,image-1778850499426/星光芙蓉.jpg
image-1778850499426.jpg,3,4,日光石,image-1778850499426/日光石.jpg
image-1778850499426.jpg,3,5,太阳石,image-1778850499426/太阳石.jpg
image-1778850499426.jpg,3,6,芬达石,image-1778850499426/芬达石.jpg
image-1778850499426.jpg,4,1,黄水晶,image-1778850499426/黄水晶.jpg
image-1778850499426.jpg,4,2,黄玉髓,image-1778850499426/黄玉髓.jpg
image-1778850499426.jpg,4,3,蜜蜡,image-1778850499426/蜜蜡.jpg
image-1778850499426.jpg,4,4,金发晶,image-1778850499426/金发晶.jpg
image-1778850499426.jpg,4,5,琥珀,image-1778850499426/琥珀.jpg
image-1778850499426.jpg,4,6,钛晶,image-1778850499426/钛晶.jpg
image-1778850503774.jpg,1,1,托帕石,image-1778850503774/托帕石.jpg
image-1778850503774.jpg,1,2,海蓝宝,image-1778850503774/海蓝宝.jpg
image-1778850503774.jpg,1,3,蓝针水晶,image-1778850503774/蓝针水晶.jpg
image-1778850503774.jpg,1,4,海纹石,image-1778850503774/海纹石.jpg
image-1778850503774.jpg,1,5,蓝玉髓,image-1778850503774/蓝玉髓.jpg
image-1778850503774.jpg,1,6,磷灰石,image-1778850503774/磷灰石.jpg
image-1778850503774.jpg,2,1,天河石,image-1778850503774/天河石.jpg
image-1778850503774.jpg,2,2,凤凰石,image-1778850503774/凤凰石.jpg
image-1778850503774.jpg,2,3,绿松石,image-1778850503774/绿松石.jpg
image-1778850503774.jpg,2,4,拉长石,image-1778850503774/拉长石.jpg
image-1778850503774.jpg,2,5,彼得石,image-1778850503774/彼得石.jpg
image-1778850503774.jpg,2,6,蓝砂石,image-1778850503774/蓝砂石.jpg
image-1778850503774.jpg,3,1,鹰眼石,image-1778850503774/鹰眼石.jpg
image-1778850503774.jpg,3,2,蓝纹石,image-1778850503774/蓝纹石.jpg
image-1778850503774.jpg,3,3,蓝晶石,image-1778850503774/蓝晶石.jpg
image-1778850503774.jpg,3,4,青金石,image-1778850503774/青金石.jpg
image-1778850503774.jpg,3,5,坦桑石,image-1778850503774/坦桑石.jpg
image-1778850503774.jpg,3,6,紫龙晶,image-1778850503774/紫龙晶.jpg
image-1778850503774.jpg,4,1,紫水晶,image-1778850503774/紫水晶.jpg
image-1778850503774.jpg,4,2,红绿宝,image-1778850503774/红绿宝.jpg
image-1778850503774.jpg,4,3,舒俱来,image-1778850503774/舒俱来.jpg
image-1778850503774.jpg,4,4,紫云母,image-1778850503774/紫云母.jpg
image-1778850503774.jpg,4,5,紫发晶,image-1778850503774/紫发晶.jpg
image-1778850503774.jpg,4,6,锂辉石,image-1778850503774/锂辉石.jpg
image-1778850507086.jpg,1,1,白水晶,image-1778850507086/白水晶.jpg
image-1778850507086.jpg,1,2,石榴石,image-1778850507086/石榴石.jpg
image-1778850507086.jpg,1,3,茶晶,image-1778850507086/茶晶.jpg
image-1778850507086.jpg,1,4,红胶花,image-1778850507086/红胶花.jpg
image-1778850507086.jpg,1,5,月光石,image-1778850507086/月光石.jpg
image-1778850507086.jpg,2,1,金曜石,image-1778850507086/金曜石.jpg
image-1778850507086.jpg,2,2,超七水晶,image-1778850507086/超七水晶.jpg
image-1778850507086.jpg,2,3,黑发晶,image-1778850507086/黑发晶.jpg
image-1778850507086.jpg,2,4,紫水晶,image-1778850507086/紫水晶_r02_c04.jpg
image-1778850507086.jpg,2,5,黄水晶,image-1778850507086/黄水晶_r02_c05.jpg
image-1778850507086.jpg,3,1,紫水晶,image-1778850507086/紫水晶_r03_c01.jpg
image-1778850507086.jpg,3,2,黄水晶,image-1778850507086/黄水晶_r03_c02.jpg
image-1778850507086.jpg,3,3,金发晶,image-1778850507086/金发晶.jpg
image-1778850507086.jpg,3,4,绿幽灵,image-1778850507086/绿幽灵.jpg
